Code,Course Name,GE Field,Lecturer,Credit,Time & Venue,Quota,Apply
G0233,Environmental Economics,Business,Choon Shay Wei,3,Monday 3.00pm-6.00pm(A4#102)(Week 1-5) | Tuesday 9.00am-12.00pm(A3#602)(Week 1-5) | Thursday 2.00pm-5.00pm(A3#509)(Week 1-5),86,86
G0251,Foundations of Business Analytics,Business,Sulfeeza Binti Mohd Drus,2,Monday 11.00am-1.00pm(A4#G08)(Week 1-5) | Wednesday 3.00pm-5.00pm(A2#G09)(Week 1-5) | Friday 9.00am-11.00am(A2#102)(Week 1-5),86,18
G0228,Fundamentals of Digital Marketing,Business,Daljit Kaur A/P Pajen Singh,2,Tuesday 2.00pm-4.00pm(A4#G08)(Week 1-5) | Wednesday 9.00am-11.00am(A4#103)(Week 1-5) | Thursday 9.00am-11.00am(A4#G08)(Week 1-5),86,52
G0250,Fundamentals of Electronic Commerce,Business,Low Jing Hong,2,Monday 3.00pm-6.00pm(A4#111)(Week 1-5) | Tuesday 3.00pm-6.00pm(A4#G06)(Week 1-5),86,22
G0244,Fundamentals of Research Methods,Business,Yip Tien Ming,2,Monday 9.00am-11.00am(A4#G07)(Week 1-5) | Wednesday 2.00pm-4.00pm(A5#G07)(Week 1-5) | Friday 10.00am-12.00pm(B1#114-Lecture Theater)(Week 1-5),114,9
G0246,Fundamentals of Supply Chain and Logistics Management,Business,Teoh Bak Aun,2,Monday 3.00pm-5.00pm(A4#105)(Week 1-5) | Tuesday 9.00am-11.00am(A3#618)(Week 1-5) | Thursday 2.00pm-4.00pm(A3#517)(Week 1-5),86,86
G0252,Introduction to Business Ethics,Business,Yin Chenli,2,Tuesday 2.00pm-4.00pm(A4#G07)(Week 1-5) | Wednesday 9.00am-11.00am(A3#618)(Week 1-5) | Thursday 9.00am-11.00am(A3#517)(Week 1-5),114,30
G0209,Introduction to Entrepreneurship,Business,Chong Sin Er,2,Monday 11.00am-1.00pm(A4#G01)(Week 1-5) | Wednesday 3.00pm-5.00pm(A3#618)(Week 1-5) | Friday 8.00am-10.00am(A4#G01)(Week 1-5),114,55
G0208,Introduction to Finance (Group 1),Business,Tan Khar Mang,2,Tuesday 2.00pm-4.00pm(A4#111)(Week 1-5) | Wednesday 9.00am-11.00am(A4#207)(Week 1-5) | Thursday 9.00am-11.00am(A2#102)(Week 1-5),86,86
G0208,Introduction to Finance (Group 2),Business,You Hui Wei,2,Monday 9.00am-11.00am(A2#G09)(Week 1-5) | Wednesday 2.00pm-4.00pm(A4#G06)(Week 1-5) | Friday 10.00am-12.00pm(A4#102)(Week 1-5),86,72
G0208,Introduction to Finance (Group 3),Business,Tan Kim Leng,2,Monday 11.00am-1.00pm(A2#G09)(Week 1-5) | Wednesday 3.00pm-5.00pm(A2#102)(Week 1-5) | Friday 9.00am-11.00am(A2#105)(Week 1-5),86,27
G0208,Introduction to Finance (Group 4),Business,Teh Boon Heng,2,Tuesday 6.00pm-9.00pm(A2#G07)(Week 1-5) | Thursday 6.00pm-9.00pm(A4#111)(Week 1-5),86,86
G0227,Introduction to FinTech (Group 1),Business,Liew Ping Xin,2,Monday 2.00pm-4.00pm(A3#508)(Week 1-5) | Tuesday 10.00am-12.00pm(A1#204)(Week 1-5) | Thursday 3.00pm-5.00pm(A4#102)(Week 1-5),86,86
G0227,Introduction to FinTech (Group 2),Business,Ong Chui Zi,2,Monday 3.00pm-5.00pm(A2#111)(Week 1-5) | Tuesday 9.00am-11.00am(A3#508)(Week 1-5) | Thursday 2.00pm-4.00pm(A4#G09)(Week 1-5),86,86
G0227,Introduction to FinTech (Group 3),Business,Dai Bochuan,2,Tuesday 2.00pm-4.00pm(A2#111)(Week 1-5) | Wednesday 9.00am-11.00am(A2#G09)(Week 1-5) | Thursday 9.00am-11.00am(A4#G04)(Week 1-5),86,86
G0227,Introduction to FinTech (Group 4),Business,Chen Yin Foo,2,Tuesday 11.00am-1.00pm(A3#517)(Week 1-5) | Thursday 11.00am-1.00pm(A4#G04)(Week 1-5) | Friday 11.00am-1.00pm(A2#105)(Week 1-5),86,86
G0248,Introduction to Human Resource Management,Business,Choo Ling Suan,2,Tuesday 3.00pm-5.00pm(A3#509)(Week 1-5) | Wednesday 10.00am-12.00pm(A3#508)(Week 1-5) | Thursday 10.00am-12.00pm(B1#114-Lecture Theater)(Week 1-5),114,114
G0247,Introduction to International Business (Group 1),Business,William Anak Keling,2,Monday 11.00am-1.00pm(A4#G07)(Week 1-5) | Wednesday 3.00pm-5.00pm(A3#508)(Week 1-5) | Friday 8.00am-10.00am(A5#G07)(Week 1-5),114,10
G0247,Introduction to International Business (Group 2),Business,Li Jianliang,2,Monday 9.00am-11.00am(A5#G01)(Week 1-5) | Wednesday 2.00pm-4.00pm(A3#509)(Week 1-5) | Friday 10.00am-12.00pm(A4#G01)(Week 1-5),114,12
G0247,Introduction to International Business (Group 3),Business,Vincent Wee Eng Kim,2,Monday 8.00am-11.00am(A1#G01)(Week 1-5) | Tuesday 8.00am-11.00am(A3#620)(Week 1-5),114,64
G0218,Introduction to Legal Studies,Business,Alice Tamah,3,Tuesday 2.00pm-5.00pm(A5#G07)(Week 1-5) | Wednesday 10.00am-1.00pm(A3#509)(Week 1-5) | Thursday 10.00am-1.00pm(A1#G01)(Week 1-5),114,114
G0220,Introduction to Operations Management,Business,Guo Sainan,2,Monday 5.00pm-7.00pm(B1#114-Lecture Theater)(Week 1-5) | Tuesday 5.00pm-7.00pm(A3#508)(Week 1-5) | Wednesday 6.00pm-8.00pm(A4#G01)(Week 1-5),114,94
G0210,Introduction to Personal Financial Planning (Group 1),Business,Wong Wang Li,2,Monday 9.00am-11.00am(A4#G08)(Week 1-5) | Wednesday 2.00pm-4.00pm(A4#G11)(Week 1-5) | Friday 10.00am-12.00pm(A4#111)(Week 1-5),86,86
G0210,Introduction to Personal Financial Planning (Group 2),Business,Kelly Wong Kai Seng,2,Wednesday 5.00pm-8.00pm(A3#517)(Week 1-5) | Thursday 5.00pm-8.00pm(A3#602)(Week 1-5),86,86
G0210,Introduction to Personal Financial Planning (Group 3),Business,Chen Yin Foo,2,Tuesday 9.00am-11.00am(A3#517)(Week 1-5) | Thursday 9.00am-11.00am(A4#110)(Week 1-5) | Friday 9.00am-11.00am(A4#G04)(Week 1-5),86,29
G0210,Introduction to Personal Financial Planning (Group 4),Business,Koh Chin Wei,2,Thursday 6.00pm-9.00pm(A4#G01)(Week 1-5) | Friday 2.00pm-5.00pm(A2#105)(Week 1-5),86,86
G0235,Microfinance and development,Business,Aktaruzzaman Khondker,2,Monday 2.00pm-4.00pm(A2#G01)(Week 1-5) | Tuesday 10.00am-12.00pm(A2#G01)(Week 1-5) | Thursday 3.00pm-5.00pm(A1#G01)(Week 1-5),114,49
G0201,Principles of Economics (Group 1),Business,Tan Consilz,3,Monday 10.00am-1.00pm(A3#620)(Week 1-5) | Wednesday 12.00pm-3.00pm(A5#G01)(Week 1-5) | Friday 9.00am-12.00pm(A3#620)(Week 1-5),114,114
G0201,Principles of Economics (Group 2),Business,Lee Weng Chang,3,Monday 9.00am-12.00pm(A5#G07)(Week 1-5) | Wednesday 5.00pm-8.00pm(A2#G01)(Week 1-5) | Friday 10.00am-1.00pm(A2#G01)(Week 1-5),114,114
G0201,Principles of Economics (Group 3),Business,Shi Xiang,3,Tuesday 2.00pm-5.00pm(A3#618)(Week 1-5) | Wednesday 5.00pm-8.00pm(A5#G01)(Week 1-5) | Thursday 12.00pm-3.00pm(A4#G01)(Week 1-5),114,114
