Code,Course Name,GE Field,Lecturer,Credit,Time & Venue,Quota,Apply
G0111,Elementary Number Theory (Group 4),Arts,Azimi Ali,3,Monday 10.00am-1.00pm(A4#G09)(Week 1-5) | Wednesday 3.00pm-6.00pm(A4#207)(Week 1-5) | Friday 9.00am-12.00pm(A4#207)(Week 1-5),86,86
G1126,English Drama,Arts,Song Jiayang,3,Tuesday 1.00pm-4.00pm(B1#Yoga Room)(Week 1-5) | Wednesday 10.00am-1.00pm(B1#Yoga Room)(Week 1-5) | Thursday 10.00am-1.00pm(B1#Yoga Room)(Week 1-5),43,43
G0197,English Novels and Short Stories,Arts,Achoui Sana,3,Monday 10.00am-1.00pm(A2#G11)(Week 1-5) | Wednesday 10.00am-1.00pm(A2#G06)(Week 1-5) | Friday 9.00am-12.00pm(A2#G06)(Week 1-5),67,67
G1119,Explore Biology with Art,Arts,Tan Suh Nih,2,Monday 9.00am-12.00pm(A5#G11)(Week 1-5) | Wednesday 2.00pm-5.00pm(A4#G03)(Week 1-5),57,57
G0106,Film Appreciation: Introduction to Cinema (Group 1),Arts,Ang Bin Yee,3,Monday 3.00pm-6.00pm(A5#G08)(Week 1-5) | Tuesday 9.00am-12.00pm(A1#G03)(Week 1-5) | Thursday 2.00pm-5.00pm(A3#502)(Week 1-5),48,48
G0106,Film Appreciation: Introduction to Cinema (Group 2),Arts,Khairul Hazrin Bin Hashim,3,Monday 1.00pm-4.00pm(A3#503)(Week 1-5) | Tuesday 1.00pm-4.00pm(A3#507)(Week 1-5) | Wednesday 1.00pm-4.00pm(A3#503)(Week 1-5),48,48
G1124,French for Communication,Arts,Ng Sze Ni,3,Monday 3.00pm-6.00pm(A1#G07)(Week 1-5) | Tuesday 9.00am-12.00pm(A1#G02)(Week 1-5) | Thursday 2.00pm-5.00pm(A4#G03)(Week 1-5),38,38
G1112,Fun of Mushroom Growing,Arts,Yong Chean Yeah,2,Tuesday 2.00pm-5.00pm(A5#207 Bio Lab 2)(Week 1-5) | Wednesday 9.00am-12.00pm(A5#207 Bio Lab 2)(Week 1-5),57,58
G1115,Healthy and Effective Relationships,Arts,Nursyahirah Binti Saiful MaznanSong Jiayang,3,Tuesday 4.00pm-7.00pm(A4#G09)(Week 1-5) | Wednesday 4.00pm-7.00pm(A4#G06)(Week 1-5) | Thursday 4.00pm-7.00pm(A4#G09)(Week 1-5),76,76
G0124,Introduction to Chinese Language I (Group 1),Arts,Heng Lee Peng,2,Monday 10.00am-12.00pm(A2#G05)(Week 1-5) | Wednesday 10.00am-12.00pm(A2#G05)(Week 1-5) | Friday 10.00am-12.00pm(A1#101)(Week 1-5),29,29
G0124,Introduction to Chinese Language I (Group 2),Arts,Heng Lee Peng,2,Monday 2.00pm-4.00pm(A2#G05)(Week 1-5) | Wednesday 2.00pm-4.00pm(A2#G05)(Week 1-5) | Friday 1.00pm-3.00pm(A1#101)(Week 1-5),29,29
G0145,Introduction to Creative Typography Design,Arts,Tham Chen Tong,3,Tuesday 5.00pm-8.00pm(A2#104)(Week 1-5) | Wednesday 5.00pm-8.00pm(A2#111)(Week 1-5) | Thursday 5.00pm-8.00pm(A4#207)(Week 1-5),67,67
G0138,Introduction to German Language I,Arts,Thanushah A/P P Soniyasee,3,Monday 9.00am-12.00pm(A2#101)(Week 1-5) | Wednesday 2.00pm-5.00pm(A5#105)(Week 1-5) | Friday 10.00am-1.00pm(A2#101)(Week 1-5),38,38
G0125,Introduction to Global Mandarin,Arts,Khoo Kiak Uei,2,Monday 2.00pm-4.00pm(A2#105)(Week 1-5) | Tuesday 10.00am-12.00pm(A1#213)(Week 1-5) | Thursday 3.00pm-5.00pm(A4#G07)(Week 1-5),86,86
G1123,Introduction to Logic,Arts,Lee Heng Soon,2,Monday 5.00pm-7.00pm(A4#G01)(Week 1-5) | Tuesday 5.00pm-7.00pm(A4#105)(Week 1-5) | Wednesday 5.00pm-7.00pm(A3#602)(Week 1-5),86,86
G1136,Introduction to Phonetics (Group 1),Arts,Zheng Zixin,2,Tuesday 3.00pm-5.00pm(A4#105)(Week 1-5) | Wednesday 10.00am-12.00pm(A1#204)(Week 1-5) | Thursday 10.00am-12.00pm(A2#G08)(Week 1-5),48,13
G1136,Introduction to Phonetics (Group 2),Arts,Zheng Zixin,2,Tuesday 3.00pm-5.00pm(A4#105)(Week 1-5) | Wednesday 10.00am-12.00pm(A1#204)(Week 1-5) | Thursday 1.00pm-3.00pm(A2#G08)(Week 1-5),48,2
G0119,Introduction to Sociology,Arts,Chandrasekaran A/L Veeraiah,3,Monday 10.00am-1.00pm(A1#103)(Week 1-5) | Tuesday 10.00am-1.00pm(A3#502)(Week 1-5) | Wednesday 10.00am-1.00pm(A5#G08)(Week 1-5),48,48
G0140,Languages and Writings of the World,Arts,Ivanova Irina,3,Monday 3.00pm-6.00pm(A4#G03)(Week 1-5) | Tuesday 9.00am-12.00pm(A1#G06)(Week 1-5) | Thursday 2.00pm-5.00pm(A2#103)(Week 1-5),57,57
G0199,Leadership with Fun,Arts,Al-Saggaf Mohammad Ali Abdellah,3,Monday 2.00pm-5.00pm(A2#101)(Week 1-5) | Tuesday 10.00am-1.00pm(A1#G07)(Week 1-5) | Thursday 3.00pm-6.00pm(A5#113)(Week 1-5),38,39
G0193,Malaysian Literature in English,Arts,Clara Ling Boon Ing,3,Monday 2.00pm-5.00pm(A2#G11)(Week 1-5) | Tuesday 10.00am-1.00pm(A2#G06)(Week 1-5) | Thursday 3.00pm-6.00pm(A5#G04)(Week 1-5),67,67
G0180,Mathematical Theory of Games,Arts,Zeiner Peter,3,Tuesday 4.00pm-7.00pm(A4#G07)(Week 1-5) | Wednesday 10.00am-1.00pm(A3#517)(Week 1-5) | Thursday 12.00pm-3.00pm(A3#602)(Week 1-5),114,114
G1100,Media and Representations (Group 1),Arts,Tang Ying Ying,2,Monday 2.00pm-4.00pm(A3#513)(Week 1-5) | Tuesday 10.00am-12.00pm(A2#G08)(Week 1-5) | Thursday 3.00pm-5.00pm(A3#510)(Week 1-5),57,57
G1100,Media and Representations (Group 2),Arts,Balqis Aini Binti Mustafa,2,Tuesday 2.00pm-4.00pm(A4#G03)(Week 1-5) | Wednesday 9.00am-11.00am(A1#G03)(Week 1-5) | Thursday 9.00am-11.00am(A3#510)(Week 1-5),57,57
G0146,Multimedia Storytelling,Arts,Kwok Wai Jing,3,Monday 9.00am-12.00pm(A2#G04)(Week 1-5) | Wednesday 2.00pm-5.00pm(A3#512)(Week 1-5) | Friday 10.00am-1.00pm(A2#G02)(Week 1-5),48,48
G0173,"New Media: Digital, Activism and Society",Arts,Norzita Binti Yunus,3,Monday 3.00pm-6.00pm(A5#G11)(Week 1-5) | Tuesday 9.00am-12.00pm(A4#G04)(Week 1-5) | Thursday 2.00pm-5.00pm(A4#109)(Week 1-5),67,67
G0169,Occupational Safety And Health At Workplace,Arts,Ling Suk Jiun,3,Monday 2.00pm-5.00pm(A5#G04)(Week 1-5) | Tuesday 10.00am-1.00pm(A2#G03)(Week 1-5) | Thursday 3.00pm-6.00pm(A2#G08)(Week 1-5),57,57
G0198,Philosophy and Education,Arts,Abdulkhaleq Mohammed Mohammed Ali,3,Tuesday 2.00pm-5.00pm(A3#505)(Week 1-5) | Wednesday 9.00am-12.00pm(A4#G03)(Week 1-5) | Thursday 9.00am-12.00pm(A2#G03)(Week 1-5),52,52
G0162,Political Communication,Arts,Sivasangari A/P Genapathy,3,Monday 9.00am-12.00pm(A4#G04)(Week 1-5) | Wednesday 2.00pm-5.00pm(A5#G04)(Week 1-5) | Friday 10.00am-1.00pm(A2#G11)(Week 1-5),67,64
G1131,Practical Skills in English-Chinese Interpretation,Arts,Tang Renfang,2,Monday 3.00pm-5.00pm(A2#G08)(Week 1-5) | Tuesday 9.00am-11.00am(A4#109)(Week 1-5) | Thursday 2.00pm-4.00pm(A1#G03)(Week 1-5),57,56
G0150,Principles of Public Relations,Arts,Muhammad Nur Fitri Bin Razak,3,Monday 3.00pm-6.00pm(A1#G06)(Week 1-5) | Tuesday 9.00am-12.00pm(A2#G11)(Week 1-5) | Thursday 2.00pm-5.00pm(A1#G06)(Week 1-5),67,67
G0135,Probability and Statistics in Real Life (Group 2),Arts,Koh Siew Khew,3,Monday 10.00am-1.00pm(A4#103)(Week 1-5) | Wednesday 3.00pm-6.00pm(A4#G08)(Week 1-5) | Friday 9.00am-12.00pm(A4#103)(Week 1-5),100,100
G0129,Protection of Innovation,Arts,Norazira Binti Abdu Rahman,2,Tuesday 3.00pm-6.00pm(A5#G09)(Week 1-5) | Wednesday 10.00am-1.00pm(A5#G04)(Week 1-5),29,29
G0103,Psychology of Interpersonal Communication (Group 1),Arts,Linda Tan Poh Gaik,3,Monday 9.00am-12.00pm(A4#G11)(Week 1-5) | Wednesday 2.00pm-5.00pm(A2#103)(Week 1-5) | Friday 10.00am-1.00pm(A2#104)(Week 1-5),67,67
G0103,Psychology of Interpersonal Communication (Group 2),Arts,Andi Muhammad Tri Sakti,3,Monday 2.00pm-5.00pm(A4#G11)(Week 1-5) | Tuesday 10.00am-1.00pm(A5#G11)(Week 1-5) | Thursday 3.00pm-6.00pm(A5#G09)(Week 1-5),67,67
G0166,Public Speaking (Group 1),Arts,Rosli Bin Ismail,2,Monday 11.00am-1.00pm(A2#G06)(Week 1-5) | Wednesday 3.00pm-5.00pm(A3#513)(Week 1-5) | Friday 9.00am-11.00am(A1#G06)(Week 1-5),67,67
G0166,Public Speaking (Group 2),Arts,Yugeetha Balan,2,Monday 10.00am-1.00pm(A5#G06)(Week 1-5) | Thursday 1.00pm-4.00pm(A4#110)(Week 1-5),67,67
G1132,Readings in World Modern Chinese Poetry (Group 1),Arts,Ng Kee Ong,2,Monday 2.00pm-4.00pm(A3#620)(Week 1-5) | Tuesday 10.00am-12.00pm(A5#G07)(Week 1-5) | Thursday 3.00pm-5.00pm(A2#G03)(Week 1-5),48,48
G1132,Readings in World Modern Chinese Poetry (Group 2),Arts,Ng Kee Ong,2,Monday 2.00pm-4.00pm(A3#620)(Week 1-5) | Tuesday 10.00am-12.00pm(A5#G07)(Week 1-5) | Thursday 6.00pm-8.00pm(A2#G03)(Week 1-5),48,12
G0160,Relationship Marketing,Arts,Prasana Rosaline A/P P R Fernandez,3,Tuesday 3.00pm-6.00pm(A3#513)(Week 1-5) | Wednesday 3.00pm-6.00pm(A2#G08)(Week 1-5) | Thursday 10.00am-1.00pm(A3#502)(Week 1-5),60,60
G0153,Social Media & Digital Communities,Arts,Ameera Hanna Mohd Tajuddin,3,Monday 11.00am-2.00pm(A4#110)(Week 1-5) | Tuesday 11.00am-2.00pm(A4#G06)(Week 1-5) | Wednesday 11.00am-2.00pm(A1#213)(Week 1-5),67,66
G0118,Success Strategies,Arts,Jeyasushma A/P Veeriah,2,Monday 11.00am-1.00pm(A2#G08)(Week 1-5) | Wednesday 3.00pm-5.00pm(A3#514)(Week 1-5) | Friday 9.00am-11.00am(A1#201)(Week 1-5),48,48
G0184,Technical Writing,Arts,Ab. Halim Bin Abu Bakar,2,Tuesday 11.00am-1.00pm(A4#109)(Week 1-5) | Wednesday 11.00am-1.00pm(A2#G09)(Week 1-5) | Thursday 11.00am-1.00pm(A4#G03)(Week 1-5),57,57
G1122,"Technology and Culture: Science Fiction, Video Games and Social Media (Group 1)",Arts,Gui Wei,2,Monday 2.00pm-5.00pm(A3#518)(Week 1-5) | Tuesday 5.00pm-8.00pm(A3#517)(Week 1-5),48,48
G1122,"Technology and Culture: Science Fiction, Video Games and Social Media (Group 2)",Arts,Gui Wei,2,Monday 2.00pm-5.00pm(A3#518)(Week 1-3) | Monday 6.00pm-9.00pm(A2#G06)(Week 4-5) | Tuesday 5.00pm-8.00pm(A3#517)(Week 1-3) | Wednesday 5.00pm-8.00pm(A1#G03)(Week 4-5),48,17
